date_normalize,is_canceled,lead_time
2017-01-01,No,23.28993288590604
2017-01-01,Yes,72.45631067961165
2017-02-01,No,28.391737891737893
2017-02-01,Yes,64.36290322580645
2017-03-01,No,73.41584158415841
2017-03-01,Yes,74.82608695652173
2017-09-01,No,66.02941176470588
2017-09-01,Yes,82.88389513108615
2017-10-01,No,69.00382775119617
2017-10-01,Yes,85.74084507042254
2017-11-01,No,105.66967305524238
2017-11-01,Yes,124.41935483870968
2017-12-01,No,64.11007268951194
2017-12-01,Yes,115.1554054054054
2018-01-01,No,33.23499491353001
2018-01-01,Yes,72.42639593908629
2018-02-01,No,43.45075757575758
2018-02-01,Yes,101.34693877551021
2018-03-01,No,22.390736342042754
2018-03-01,Yes,82.50746268656717
2018-04-01,No,18.603448275862068
2018-04-01,Yes,53.20805369127517
2018-05-01,No,35.566804979253114
2018-05-01,Yes,62.641350210970465
2018-06-01,No,49.25815470643057
2018-06-01,Yes,74.5891472868217
2018-07-01,No,90.86612758310872
2018-07-01,Yes,107.36206896551724
2018-08-01,No,116.20801733477789
2018-08-01,Yes,125.84406779661018
2018-09-01,No,106.0328227571116
2018-09-01,Yes,125.01511335012594
2018-10-01,No,99.67420814479638
2018-10-01,Yes,123.25830258302582
2018-11-01,No,157.62659574468086
2018-11-01,Yes,143.25078369905955
2018-12-01,No,99.92010092514718
2018-12-01,Yes,111.93055555555556
2019-03-01,No,23.05537806176784
2019-03-01,Yes,64.73333333333333
2019-04-01,No,30.450757575757574
2019-04-01,Yes,62.813380281690144
2019-05-01,No,57.422105263157896
2019-05-01,Yes,102.12612612612612
2019-06-01,No,74.52462121212122
2019-06-01,Yes,112.69665809768638
2019-07-01,No,101.56818181818181
2019-07-01,Yes,144.5710659898477
2019-08-01,No,126.64867617107943
2019-08-01,Yes,164.1509433962264
2019-09-01,No,113.71247563352827
2019-09-01,Yes,146.49740034662045
2019-10-01,No,106.92475067996374
2019-10-01,Yes,145.64909638554218
